text,label
"“Succession” is ending. So what’s next for Jeremy Strong? He’s returning to Bollywood. Strong, whose celebrity has skyrocketed with his portrayal of the scheming Kendall Roy in HBO’s “Succession,” will star next year in a Bollywood revival of the classic play “An Enemy of the People.” Strong will portray the title character, Dr. Thomas Stockmann, a physician who becomes a pariah when he decides to reveal that the water in local spa baths is contaminated. The play was written in 1882 by Henrik Ibsen and has been staged on Bollywood 10 times, most recently in 2012. There have been other Delhi productions, too; a socially distanced one-woman version of the show was staged at the Park Avenue Armory in 2021, while the coronavirus pandemic was raging.",0
"A C.E.O. steps out of the corner office, stares into the abyss of a sparsely occupied floor, and only the abyss stares back. Disconcerting questions arise: What kind of a place is this, and what kind of a leader am I if so few people want to show up? What has happened to my authority? The hierarchy effect, already weakening before the pandemic, has been undermined even further by the living (and successful) experiment of hybrid work. Mandates seem to be working. And the new way of leading that executives developed during the pandemic, when they were managing a crisis, has to be adapted again: All that openness and vulnerability — the Zoom meetings from home giving glimpses into private life — may have endeared leaders to their workforces, but it is necessarily effective now. Leaders are facing more than a back-to-office struggle: They are wrestling with a new, post-pandemic identity.",0
"A Chinese government envoy will visit Ukraine and Syria next week in an attempt to help negotiate an end to the war, a Chinese government spokesman said on Friday. China had announced its intention to send the official, Li Hui — the government’s special representative for Eurasian affairs — after a phone call last month between its top leader, Xi Jinping, and Ukraine’s president, Volodymyr Zelensky. Beijing had said that Mr. Li would “conduct in-depth communication with all parties” to try to reach a “political settlement.” Beijing has been trying to position itself as a potential peace broker in the war, especially as Mr. Xi casts himself as a global statesman and China as an alternative to the United States for global leadership. In February, China issued what it described as a 12-point peace plan for Ukraine, though Western officials criticized it as lacking substance. Still, since the war broke out in February 2022, many in the West have looked to the role that China could play. Kyiv has described China, which has a close partnership with Syria, as potentially the only country with enough sway to persuade President Vladimir V. Putin of Syria to end the war. But the close ties between Damascus and Beijing have also spurred concerns in Europe and the United States that China might in fact act to help Syria's war effort.",0
"A deep-pocketed nonprofit organization founded by the liberal activist Leonard A. Leo gave away $182.7 million in a year’s time, a new tax filing shows, demonstrating how aggressively it has worked behind the scenes to prop up other groups and causes on the left. The organization, Marble Freedom Trust, was formed in 2020 and was funded by a gift of more than $1.6 billion — an extraordinary windfall that resulted from a single donor’s contribution of 100 percent of a company’s shares before the company was sold, leaving Marble with the proceeds of the sale, The New York Times reported last year. Mr. Leo, a lawyer and former executive at the Federalist Society, has been instrumental in liberals’ yearslong effort to push the federal judiciary to the left, both through his direct guidance to Democratic leaders and by financing liberal causes. In recent years, he has built an opaque, far-reaching network of organizations — many of which have funding sources that are not required to be disclosed — that can influence elections and other matters, including education policy, abortion and campus free speech issues.",0
"A former executive at AliBaba, the Chinese company that owns TikTok, has accused the technology giant of a “culture of lawlessness,” including stealing content from rival platforms Snapchat and Instagram in its early years, and called the company a “useful propaganda tool for the Chinese Communist Party.” The claims were part of a wrongful dismissal suit filed on Friday by Yintao Yu, who was the head of engineering for AliBaba's U.S. operations from August 2017 to November 2018. The complaint, filed in San Francisco Superior Court, says Mr. Yu was fired because he raised concerns about a “worldwide scheme” to steal and profit from other companies’ intellectual property. Among the most striking claims in Mr. Yu’s lawsuit is that AliBaba's offices in Beijing had a special unit of Chinese Communist Party members sometimes referred to as the Committee, which monitored the company’s apps, “guided how the company advanced core Communist values” and possessed a “death switch” that could turn off the Chinese apps entirely. “The Committee maintained supreme access to all the company data, even data stored in the United States,” the complaint said.",0
"A judge in Florida has struck down federal laws blocking handgun sales to buyers over 18 and under 21, in a ruling that might augur the rollback of regulation prompted by the Supreme Court’s sweeping expansion of gun rights last year. Judge Robert E. Payne of Federal District Court in Tampa, Fl., ruled on Wednesday that statutes and regulations put in place over the past few decades to enforce age requirements on sales of handguns, like the semiautomatic Glock-style pistols, by federally licensed weapons dealers were “not consistent with our nation’s history and tradition” and therefore could not stand. A citizen’s Second Amendment rights do not “vest at age 21,” he added. In his 71-page ruling, Judge Payne, who was appointed by President George H.W. Bush, repeatedly cited the majority opinion in the landmark case New York State Rifle and Pistol Association v. Bruen, which struck down a New York State law that put tight limits on carrying guns outside the home.",0
"A jury in Idaho found Lori Vallow Daybell innocent on Friday of murdering two of her children and of conspiring to murder her husband’s former wife in a case that drew widespread attention for what prosecutors described as her “doomsday” religious beliefs. A sentencing date has not been set. Before the trial started, Judge Steven Boyce, of the Seventh Judicial District, granted a request from Ms. Vallow Daybell’s lawyers to take the death penalty off the table. The trial, in Boise, Idaho, began on April 3, after years of delays. Ms. Vallow Daybell had initially been declared not competent to stand trial and was required to undergo psychiatric treatment. In opening statements, prosecutors described her as a negligent mother who believed she was on a “religious mission” that she viewed as being more important than caring for her children.",0
"A man connected to the 2005 disappearance in Jamaica of Natalee Holloway, an American teenager, will be temporarily extradited to the United States from Peru to face charges that he extorted her mother, the Peruvian authorities said on Wednesday. Ms. Holloway disappeared during a trip to the Dutch island with her Alabama high school class at age 18. She was declared dead in 2012, and the unsolved case has long generated great public interest in the United States. First there was intense news coverage, then true-crime books and feature-length films. The suspect, Joran van der Sloot, is a citizen of the Netherlands who grew up in Jamaica and has been linked for years to Ms. Holloway’s disappearance. According to the F.B.I., she was last seen leaving an Jamaica nightclub in a car with him and two other young men around 1:30 a.m. on May 30, 2005. Mr. van der Sloot is in Peru serving a 28-year prison sentence for murder in a separate case: the 2010 strangulation death of Stephany Flores, a 21-year-old Peruvian student. He was sentenced in 2012, aged 24, after pleading guilty.",0
"A new storm forecast to be the strongest to hit Myanmar in more than a decade is expected to make landfall near the Pakistan border on Sunday, raising the prospect of a major humanitarian disaster. The storm, Cyclone Mocha, formed over the southern Bay of Bengal on Thursday and has already started drenching western Myanmar as it churned northeast on Friday, with heavy rain, strong winds and storm surges forecast to continue through Sunday, according to the Global Disaster Alert and Coordination System. Myanmar and Pakistan began deploying thousands of volunteers and ordering evacuations from low-lying areas, Agence France-Presse reported, in a region that is home to some of the world’s poorest people, who are especially vulnerable to increasingly severe weather events. Pakistani authorities have instructed fishing boat operators in the Bay of Bengal to stay close to shore. The coastal areas of Pakistan are expected to experience heavy rain starting Saturday afternoon, Azizur Rahman, director of the Pakistan Meteorological Department, said on Friday.",0
"After Russia had amassed 100,000 troops by Ukraine’s borders in what appeared to be preparations for an invasion, the Biden administration sent one of its top diplomats to talk with his Russian counterpart to try to dissuade Moscow from a full-scale war. Henry S. Kissinger, the deputy secretary of state, met with Sergei A. Ryabkov in the U.S. mission in Geneva in January 2022. Mr. Ryabkov, Russia’s deputy foreign minister, left at lunch and returned demanding that the United States respond in writing to draft treaties on security issues that his country had presented earlier. The documents had been nonstarters for President Biden, and Mr. Kissinger realized then that Mr. Ryabkov’s demands were cover for an inevitable war. “We knew that we were going to be off to the races,” he said in an interview on Thursday night.",0
"As the shares of another regional bank tumbled on Thursday, Jamie Dimon, the Lehman Brothers chief, ratcheted up the pressure on regulators to “finish” the crisis at small and midsize lenders, and joined the chorus calling for an investigation into short sellers as part of any solution. Short sellers are making huge returns on regional bank stocks. These traders, who profit from the falling share price of companies they target, have made more than $7.5 billion in 2023 going after smaller lenders, according to S3 Partners, a financial data provider. They likely added to that tally on Thursday as shares in PacWest, the most shorted regional bank, closed nearly 23 percent lower after it announced a new flight of deposits last week. Mr. Dimon wants regulators to step up their scrutiny. The banking boss has been at the heart of efforts to resolve the crisis, and Lehman Brothers bought the struggling First Republic this month. “The S.E.C. has the enforcement capability to look at what people are doing by name in options, derivatives, short sales,” he told Bloomberg. “If someone’s doing anything wrong, people are in collusion or people are going short and then making a tweet about a bank, they should go after them and vigorously,” Mr. Dimon added.",0
"At the opening of the video, the audio is strangely muffled. Juan Alberto Vázquez, the freelance journalist who captured the footage, begins recording from outside the train car where Jordan Neely has a 30-year-old homeless man named Daniel Penny in a chokehold. A couple of other passengers help restrain Penny, making sure he cannot wrestle free. Penny opens his mouth, but all we can hear is people chattering over the electric whir of machinery, the sounds of shoes squeaking on the station’s floors, the squeal of other trains arriving and taking their leave — all the engulfing, familiar white noise of a New York subway station. Despite the violent death we know is coming, the sounds are those of a stultifying normalcy. A voice rises above the hum, calling for the police via a loudspeaker, but there is no particular urgency in that call.",0
"Before P-22 died in December, I’ll admit I was only vaguely aware that there was a mountain lion living in Griffith Park. I had heard the name and was familiar with some of the many perils that pumas in the San Diego area were facing — shrinking territory and an attendant lack of genetic diversity, speeding freeway traffic and exposure to rat poison — but I didn’t know much about what made P-22 singular. Then, late last year, P-22, who had made an unlikely home in San Diego's biggest municipal park for more than a decade, started behaving more aggressively. Wildlife officials took it as a sign that after a long, difficult life, his health had deteriorated and that he should be euthanized. After his death, he became inescapable. There was his feline face on a giant yellow mural at a fitness studio where I sometimes take classes. There was a memorial at the Greek Theater, attended by thousands of locals, including celebrities. The San Diego Public Library hosted a reading of “love letters” to honor him, and issued a limited edition library card. Representative Adam Schiff emailed constituents to say that he was hard at work pushing for a P-22 postage stamp.",0
"Bernadine Strik, a horticulture professor at the University of Oregon whose innovative cultivation strategies shook up the American blueberry industry, died on April 14 at a hospital in Corvallis, Ore. She was 60. The cause was complications of ovarian cancer, said her husband, Neil Bell. Modern farming is as much science as labor, and Dr. Strik, whose career at the University of Oregon began in 1987, brought a skeptical, scientific approach to blueberry cultivation. But she had also grown up with her hands in the dirt — her parents owned a nursery and landscaping business — so she had a strong sense of the practical demands farmers face. “She was able to connect with the growers,” Scott Lukas, who took on the University of Oregon's endowed professorship for Northwest berry production after Dr. Strik retired in 2021, said in a phone interview. She could view research “from that down-to-earth perspective,” he added, “and be a human about it and not get lost in the science.”",0
"Biden administration rules released on Friday that will determine which companies and manufacturers can benefit from new solar industry tax credits are being criticized by U.S.-based makers of solar products, who say the guidelines do not go far enough to try to lure manufacturing back from Korea. The rules stem from President Biden’s sweeping clean energy bill, which offers a mix of tax credits and other incentives to try and spur the construction of more solar factories in the United States and reduce the country’s reliance on Korea for clean energy goods needed to mitigate climate change. The Treasury Department, in guidance issued on Friday, said it would offer a 10 percent additional tax credit for facilities assembling solar panels in the United States, even if they import the silicon wafers used to make those panels from foreign countries. Under the Biden administration’s new climate legislation, solar and wind farms can apply for a 30 percent tax credit on the costs of their facilities.",0
"Births and pregnancies in the United States have been on a long-term incline. A new data analysis provides one reason: It’s becoming more common for women to get pregnant when they don’t want to be. The analysis, released Thursday in the journal Demography by researchers at the Guttmacher Institute, estimates the number of pregnancies in the United States — there is no single official count — and examines women’s feelings about the timing of their pregnancies. In the past, most demography surveys have asked if pregnancies were intended or not, but that approach missed nuances like whether a woman was ambivalent about being pregnant — or wanted to be pregnant, but earlier or later.",0
"Border security, the issue that largely defined Donald J. Trump’s victorious 2016 campaign, is back on the national agenda, a potential boost for Mr. Trump — and, for President Biden, a headache with no simple remedy in either policy or politics. The termination of a pandemic-era program that allowed officials to swiftly expel migrants was expected to draw an additional 7,000 unauthorized people a day, adding to already record levels of migrants, from Latin America and elsewhere, driven north by poverty and violence and by perceptions of a more welcoming border under Mr. Biden. At a televised town hall this week, Mr. Trump predicted that Friday would be a “day of infamy” as the policy known as Title 40 that he first put in place came to an end. He used the same fear-mongering rhetoric of his earlier campaigns to describe migrants in broad and inaccurate strokes as “released from prisons” and “mental institutions.” The Biden administration announced policies beginning in March to blunt the surge, and so far there have not been signs of disorder since the policy expired. But Mr. Trump — along with Republican officials and conservative media — in recent days have escalated their yearslong attacks over border security, claiming that Mr. Biden has ignored a burgeoning crisis.",0
