source_url	source_url_normalized	ref	fact	bias
http://www.viralthread.com/	viralthread.com	https://mediabiasfactcheck.com/viral-thread/	mixed	center
http://www.wionews.com/	wionews.com	https://mediabiasfactcheck.com/wion-world-one-news/	mixed	center
http://www.memeorandum.com/	memeorandum.com	https://mediabiasfactcheck.com/memeorandum/	mixed	center
https://www.thewrap.com	thewrap.com	https://mediabiasfactcheck.com/thewrap/	mixed	center
http://www.newsnow.co.uk/h/	newsnow.co.uk	http://mediabiasfactcheck.com/newsnow-uk/	mixed	center
http://www.patheos.com/	patheos.com	http://mediabiasfactcheck.com/patheos/	mixed	center
https://www.frontiersin.org/	frontiersin.org	https://mediabiasfactcheck.com/frontiers/	mixed	center
http://www.malaysia-today.net/	malaysia-today.net	https://mediabiasfactcheck.com/malaysia-today/	mixed	center
http://spectrumreport.com	spectrumreport.com	https://mediabiasfactcheck.com/spectrum-report/	mixed	center
http://foreignpolicynews.org	foreignpolicynews.org	https://mediabiasfactcheck.com/foreign-policy-news/	mixed	left
http://samuel-warde.com/	samuel-warde.com	http://mediabiasfactcheck.com/liberals-unite-samuel-warde/	mixed	left
https://popularresistance.org/	popularresistance.org	https://mediabiasfactcheck.com/popular-resistance/	mixed	left
http://leftoverrights.com/	leftoverrights.com	http://mediabiasfactcheck.com/left-over-rights/	mixed	left
http://www.republicworld.com/	republicworld.com	https://mediabiasfactcheck.com/republic-world/	mixed	left
http://www.timesheadline.com	timesheadline.com	https://mediabiasfactcheck.com/times-headline/	mixed	left
https://americanbridgepac.org/	americanbridgepac.org	http://mediabiasfactcheck.com/american-bridge-21st-century/	mixed	left
http://www.liberalamerica.org/	liberalamerica.org	http://mediabiasfactcheck.com/liberal-america/	mixed	left
http://deepleftfield.info/	deepleftfield.info	https://mediabiasfactcheck.com/deep-left-field/	mixed	left
http://news.groopspeak.com/	news.groopspeak.com	http://mediabiasfactcheck.com/groopspeak/	mixed	left
http://www.leftsideofhistory.com/	leftsideofhistory.com	http://mediabiasfactcheck.com/left-side-of-history/	mixed	left
http://americannewsx.com/	americannewsx.com	http://mediabiasfactcheck.com/american-news-x/	mixed	left
http://www.ibtimes.com/	ibtimes.com	http://mediabiasfactcheck.com/international-business-times/	mixed	left
https://www.buzzfeed.com/	buzzfeed.com	http://mediabiasfactcheck.com/buzzfeed/	mixed	left
https://www.themaven.net/beingliberal	themaven.net-beingliberal	https://mediabiasfactcheck.com/being-liberal/	mixed	left
http://stocksnewsdaily.com/	stocksnewsdaily.com	https://mediabiasfactcheck.com/stocks-news-daily/	mixed	left
https://uawire.org/	uawire.org	https://mediabiasfactcheck.com/uawire/	mixed	left
http://secondnexus.com/	secondnexus.com	http://mediabiasfactcheck.com/second-nexus/	mixed	left
https://www.greenleft.org.au	greenleft.org.au	https://mediabiasfactcheck.com/green-left-weekly/	mixed	left
http://www.pravdareport.com/	pravdareport.com	http://mediabiasfactcheck.com/pravda-report/	mixed	left
http://www.mirror.co.uk/	mirror.co.uk	http://mediabiasfactcheck.com/daily-mirror/	mixed	left
https://www.dailydems.com/	dailydems.com	https://mediabiasfactcheck.com/daily-dems/	mixed	left
https://thesternfacts.com/	thesternfacts.com	https://mediabiasfactcheck.com/the-stern-facts/	mixed	left
https://egyptianstreets.com/	egyptianstreets.com	https://mediabiasfactcheck.com/egyptian-streets/	mixed	left
http://www.addictinginfo.org/	addictinginfo.org	http://mediabiasfactcheck.com/addicting-info/	mixed	left
https://www.nova-magazine.net	nova-magazine.net	https://mediabiasfactcheck.com/nova-magazine/	mixed	left
https://www.almasdarnews.com	almasdarnews.com	https://mediabiasfactcheck.com/al-masdar-news-amn/	mixed	left
http://www.truth-out.org/	truth-out.org	http://mediabiasfactcheck.com/truth-out/	mixed	left
http://www.vermontindependent.org/	vermontindependent.org	https://mediabiasfactcheck.com/vermont-independent/	mixed	left
https://itsgoingdown.org/	itsgoingdown.org	https://mediabiasfactcheck.com/its-going-down/	mixed	left
http://republicanssucks.org	republicanssucks.org	https://mediabiasfactcheck.com/republicans-suck/	mixed	left
http://jezebel.com/	jezebel.com	http://mediabiasfactcheck.com/jezebel/	mixed	left
https://www.thelondoneconomic.com	thelondoneconomic.com	https://mediabiasfactcheck.com/the-london-economic/	mixed	left
http://reverbpress.com/	reverbpress.com	http://mediabiasfactcheck.com/reverb-press/	mixed	left
https://thefloridasqueeze.com/	thefloridasqueeze.com	https://mediabiasfactcheck.com/the-florida-squeeze/	mixed	left
http://bluenationreview.com/	bluenationreview.com	http://mediabiasfactcheck.com/blue-nation-review/	mixed	left
http://www.presstv.com/	presstv.com	http://mediabiasfactcheck.com/press-tv/	mixed	left
http://www.codepink.org/	codepink.org	https://mediabiasfactcheck.com/code-pink/	mixed	left
https://www.leftscoop.com/	leftscoop.com	http://mediabiasfactcheck.com/leftscoop/	mixed	left
https://www.oneindia.com/	oneindia.com	https://mediabiasfactcheck.com/oneindia/	mixed	left
http://www.alternet.org/	alternet.org	http://mediabiasfactcheck.com/alternet/	mixed	left
http://www.citypaper.com/	citypaper.com	https://mediabiasfactcheck.com/baltimore-city-paper/	mixed	left
http://www.thenewcivilrightsmovement.com/	thenewcivilrightsmovement.com	http://mediabiasfactcheck.com/the-new-civil-rights-movement/	mixed	left
http://www.telesurtv.net/english/	telesurtv.net-english	http://mediabiasfactcheck.com/telesur/	mixed	left
http://www.dailykos.com/	dailykos.com	http://mediabiasfactcheck.com/daily-kos/	mixed	left
https://nowthisnews.com/	nowthisnews.com	http://mediabiasfactcheck.com/nowthis-news/	mixed	left
http://other98.com/	other98.com	http://mediabiasfactcheck.com/the-other-98/	mixed	left
http://thinkprogress.org/	thinkprogress.org	http://mediabiasfactcheck.com/think-progress/	mixed	left
https://colombiareports.com	colombiareports.com	https://mediabiasfactcheck.com/columbia-reports/	mixed	left
http://www.allthatsfab.com/	allthatsfab.com	http://mediabiasfactcheck.com/all-thats-fab/	mixed	left
http://www.globetoday.com/	globetoday.com	https://mediabiasfactcheck.com/globe-today/	mixed	left
http://deepstatenation.com	deepstatenation.com	https://mediabiasfactcheck.com/deepstatenation-com/	mixed	left
http://ir.net/	ir.net	https://mediabiasfactcheck.com/independent-reporter-ir-net/	mixed	left
http://elitedaily.com/	elitedaily.com	http://mediabiasfactcheck.com/elite-daily/	mixed	left
http://www.inquisitr.com/news/	inquisitr.com-news	http://mediabiasfactcheck.com/inquisitr/	mixed	left
https://stepfeed.com	stepfeed.com	https://mediabiasfactcheck.com/stepfeed/	mixed	left
http://www.syriana-analysis.com	syriana-analysis.com	https://mediabiasfactcheck.com/syriana-analysis/	mixed	left
https://www.opednews.com/	opednews.com	http://mediabiasfactcheck.com/opednews-oen/	mixed	left
http://www.breitbartunmasked.com/	breitbartunmasked.com	http://mediabiasfactcheck.com/breitbart-unmasked/	mixed	left
https://www.progressiveliberal.net	progressiveliberal.net	https://mediabiasfactcheck.com/progressive-liberal/	mixed	left
http://thehill.com/	thehill.com	http://mediabiasfactcheck.com/the-hill/	mixed	left
http://littlegreenfootballs.com/	littlegreenfootballs.com	http://mediabiasfactcheck.com/little-green-footballs/	mixed	left
http://economyincrisis.org/	economyincrisis.org	http://mediabiasfactcheck.com/economy-in-crisis/	mixed	left
http://www.euractiv.com/	euractiv.com	http://mediabiasfactcheck.com/euractiv/	mixed	left
http://crooksandliars.com/	crooksandliars.com	http://mediabiasfactcheck.com/crooks-and-liars/	mixed	left
http://shareblue.com/	shareblue.com	http://mediabiasfactcheck.com/shareblue/	mixed	left
http://wonkette.com/	wonkette.com	http://mediabiasfactcheck.com/wonkette/	mixed	left
http://www.nationofchange.org/	nationofchange.org	http://mediabiasfactcheck.com/nation-of-change/	mixed	left
http://washingtonpress.com	washingtonpress.com	https://mediabiasfactcheck.com/washington-press/	mixed	left
https://dutchreview.com/	dutchreview.com	https://mediabiasfactcheck.com/dutch-review/	mixed	left
http://meanlefthook.com/	meanlefthook.com	http://mediabiasfactcheck.com/mean-left-hook/	mixed	left
https://extranewsfeed.com	extranewsfeed.com	https://mediabiasfactcheck.com/extranewsfeed/	mixed	left
https://www.yahoo.com/news/?ref=gs	yahoo.com-news-?ref=gs	http://mediabiasfactcheck.com/yahoo-news/	mixed	left
http://www.cnn.com/	cnn.com	http://mediabiasfactcheck.com/cnn/	mixed	left
http://viraltitle.com	viraltitle.com	https://mediabiasfactcheck.com/viral-title/	mixed	left
https://www.theodysseyonline.com	theodysseyonline.com	https://mediabiasfactcheck.com/the-odyssey-online/	mixed	left
https://whowhatwhy.org/	whowhatwhy.org	https://mediabiasfactcheck.com/who-what-why/	mixed	left
http://modernliberals.com/	modernliberals.com	http://mediabiasfactcheck.com/modern-liberals/	mixed	left
http://earthfirstjournal.org/	earthfirstjournal.org	http://mediabiasfactcheck.com/earth-first-journal/	mixed	left
http://proudemocrat.com/	proudemocrat.com	http://mediabiasfactcheck.com/proud-democrat/	mixed	left
http://www.dailyrecord.co.uk/	dailyrecord.co.uk	https://mediabiasfactcheck.com/daily-record-scotland/	mixed	left
http://www.birminghammail.co.uk	birminghammail.co.uk	https://mediabiasfactcheck.com/birmingham-mail/	mixed	left
http://thefifthcolumnnews.com/	thefifthcolumnnews.com	http://mediabiasfactcheck.com/fifth-column-news/	mixed	left
http://www.workers.org/	workers.org	https://mediabiasfactcheck.com/workers-world/	mixed	left
http://www.rappler.com/	rappler.com	http://mediabiasfactcheck.com/rappler/	mixed	left
http://vote.us.org/	vote.us.org	http://mediabiasfactcheck.com/vote/	mixed	left
https://www.indymedia.org/or/index.shtml	indymedia.org-or-index.shtml	http://mediabiasfactcheck.com/independent-media-center/	mixed	left
http://readersupportednews.org	readersupportednews.org	https://mediabiasfactcheck.com/reader-supported-news-rsn/	mixed	left
http://www.deccanherald.com/	deccanherald.com	https://mediabiasfactcheck.com/deccan-herald/	mixed	left
http://ahtribune.com/	ahtribune.com	http://mediabiasfactcheck.com/american-herald-tribune/	mixed	left
http://www.rawstory.com/	rawstory.com	http://mediabiasfactcheck.com/raw-story/	mixed	left
http://www.cnntimes.online/	cnntimes.online	https://mediabiasfactcheck.com/sparkscnntimes/	mixed	left
http://politicaldig.com/	politicaldig.com	https://mediabiasfactcheck.com/political-dig/	mixed	left
https://www.middleeastmonitor.com/	middleeastmonitor.com	http://mediabiasfactcheck.com/middle-east-monitor/	mixed	left
http://www.democraticunderground.com/	democraticunderground.com	http://mediabiasfactcheck.com/democratic-underground/	mixed	left
http://loveknowledge.org/	loveknowledge.org	https://mediabiasfactcheck.com/love-knowledge/	mixed	left
http://us.blastingnews.com/	us.blastingnews.com	http://mediabiasfactcheck.com/blastingnews/	mixed	left
http://theoswatch.com	theoswatch.com	https://mediabiasfactcheck.com/theoswatch-com/	mixed	left
https://www.liberalexaminer.com/	liberalexaminer.com	https://mediabiasfactcheck.com/liberal-examiner/	mixed	left
http://www.msnbc.com/	msnbc.com	http://mediabiasfactcheck.com/msnbc/	mixed	left
http://www.nydailynews.com/	nydailynews.com	http://mediabiasfactcheck.com/new-york-daily-news/	mixed	left
http://www.drudge.com/	drudge.com	http://mediabiasfactcheck.com/drudge-retort/	mixed	left
http://www.bluedotdaily.com/	bluedotdaily.com	http://mediabiasfactcheck.com/blue-dot-daily/	mixed	left
http://www.legitgov.org/	legitgov.org	http://mediabiasfactcheck.com/citizens-for-legitimate-government-clg-news/	mixed	left
https://splinternews.com	splinternews.com	https://mediabiasfactcheck.com/splinter/	mixed	left
http://www.towleroad.com/	towleroad.com	http://mediabiasfactcheck.com/towleroad/	mixed	left
http://www.newshounds.us/	newshounds.us	http://mediabiasfactcheck.com/newshounds/	mixed	left
http://www.democratichub.com/	democratichub.com	http://mediabiasfactcheck.com/the-democratic-hub/	mixed	left
https://democracyguardian.com	democracyguardian.com	https://mediabiasfactcheck.com/democracy-guardian/	mixed	left
https://www.vice.com/	vice.com	http://mediabiasfactcheck.com/vice-news/	mixed	left
http://fusion.kinja.com/	fusion.kinja.com	http://mediabiasfactcheck.com/fusion/	mixed	left
http://freebeacon.com/	freebeacon.com	http://mediabiasfactcheck.com/washington-free-beacon/	mixed	right
http://brexitcentral.com	brexitcentral.com	https://mediabiasfactcheck.com/brexitcentral/	mixed	right
https://patriotpost.us/	patriotpost.us	http://mediabiasfactcheck.com/the-patriot-post/	mixed	right
http://www.breitbart.com/	breitbart.com	http://mediabiasfactcheck.com/breitbart/	mixed	right
http://freewestmedia.com/	freewestmedia.com	http://mediabiasfactcheck.com/free-west-media/	mixed	right
https://www.conservativeoutfitters.com/blogs/news	conservativeoutfitters.com-blogs-news	http://mediabiasfactcheck.com/conservative-outfitters/	mixed	right
https://home.nra.org/	home.nra.org	http://mediabiasfactcheck.com/national-rifle-association-nra/	mixed	right
http://offendedamerica.com/	offendedamerica.com	https://mediabiasfactcheck.com/offended-america/	mixed	right
https://www.churchmilitant.com/	churchmilitant.com	https://mediabiasfactcheck.com/church-militant/	mixed	right
http://www.intellectualtakeout.org/	intellectualtakeout.org	https://mediabiasfactcheck.com/intellectual-takeout/	mixed	right
