source_url	source_url_normalized	ref	fact	bias
http://globalnews.ca/	globalnews.ca	http://mediabiasfactcheck.com/global-news/	high	left
http://triblive.com/	triblive.com	http://mediabiasfactcheck.com/pittsburgh-tribune-review/	high	right
http://www.usasupreme.com/	usasupreme.com	http://mediabiasfactcheck.com/usa-supreme/	low	right
http://www.chicksontheright.com/	chicksontheright.com	http://mediabiasfactcheck.com/chicks-on-the-right/	mixed	right
http://www.cbsnews.com/	cbsnews.com	http://mediabiasfactcheck.com/cbs-news/	high	left
https://airwars.org/	airwars.org	https://mediabiasfactcheck.com/airwars/	high	center
http://www.interpretermag.com/	interpretermag.com	http://mediabiasfactcheck.com/the-interpreter-magazine/	high	left
http://undergroundjournalist.org/	undergroundjournalist.org	https://mediabiasfactcheck.com/underground-journalist/	low	left
http://usadosenews.com/	usadosenews.com	http://mediabiasfactcheck.com/usa-dose-news/	low	right
https://sentinelksmo.org	sentinelksmo.org	https://mediabiasfactcheck.com/sentinel-ksmo/	mixed	right
http://www.mcall.com	mcall.com	https://mediabiasfactcheck.com/the-morning-call/	high	center
https://thevarsity.ca/	thevarsity.ca	https://mediabiasfactcheck.com/the-varsity/	high	left
http://www.foxnews.com/	foxnews.com	http://mediabiasfactcheck.com/fox-news/	mixed	right
https://theguardiansofdemocracy.com/	theguardiansofdemocracy.com	https://mediabiasfactcheck.com/guardians-of-democracy/	high	left
http://news.groopspeak.com/	news.groopspeak.com	http://mediabiasfactcheck.com/groopspeak/	mixed	left
https://thenewtropic.com	thenewtropic.com	https://mediabiasfactcheck.com/the-new-tropic/	high	left
http://alphanewsmn.com/	alphanewsmn.com	https://mediabiasfactcheck.com/alpha-news/	mixed	right
http://www.newsnow.co.uk/h/	newsnow.co.uk	http://mediabiasfactcheck.com/newsnow-uk/	mixed	center
https://uawire.org/	uawire.org	https://mediabiasfactcheck.com/uawire/	mixed	left
http://www.vermontindependent.org/	vermontindependent.org	https://mediabiasfactcheck.com/vermont-independent/	mixed	left
https://judicialnetwork.com/	judicialnetwork.com	http://mediabiasfactcheck.com/judicial-crisis-network/	mixed	right
http://jewwatch.com/	jewwatch.com	http://mediabiasfactcheck.com/jew-watch/	low	right
http://discovermagazine.com/	discovermagazine.com	http://mediabiasfactcheck.com/discover-magazine/	high	center
https://crimethinc.com/	crimethinc.com	http://mediabiasfactcheck.com/crimethinc/	high	left
http://www.cnsnews.com/	cnsnews.com	http://mediabiasfactcheck.com/cns-news/	mixed	right
https://www.defconwarningsystem.com	defconwarningsystem.com	https://mediabiasfactcheck.com/defcon-warning-system/	high	center
http://www.futureinamerica.com/news	futureinamerica.com-news	http://mediabiasfactcheck.com/future-in-america/	mixed	right
http://www.liberalmountain.com/	liberalmountain.com	https://mediabiasfactcheck.com/liberal-mountain/	high	left
https://www.heartland.org/	heartland.org	http://mediabiasfactcheck.com/heartland-institute/	mixed	right
https://www.thequint.com/	thequint.com	https://mediabiasfactcheck.com/the-quint/	mixed	right
